tiempo_sk,fecha_registro,anio,semestre,trimestre,mes,dia,nombre_mes,es_barrido_iv
792,2023-03-03,2023,2023-S1,2023-Q1,3,3,March,1
793,2023-03-04,2023,2023-S1,2023-Q1,3,4,March,1
794,2023-03-05,2023,2023-S1,2023-Q1,3,5,March,1
795,2023-03-06,2023,2023-S1,2023-Q1,3,6,March,1
796,2023-03-07,2023,2023-S1,2023-Q1,3,7,March,1
797,2023-03-08,2023,2023-S1,2023-Q1,3,8,March,1
798,2023-03-09,2023,2023-S1,2023-Q1,3,9,March,1
799,2023-03-10,2023,2023-S1,2023-Q1,3,10,March,1
800,2023-03-11,2023,2023-S1,2023-Q1,3,11,March,1
801,2023-03-12,2023,2023-S1,2023-Q1,3,12,March,1
802,2023-03-13,2023,2023-S1,2023-Q1,3,13,March,1
803,2023-03-14,2023,2023-S1,2023-Q1,3,14,March,1
804,2023-03-15,2023,2023-S1,2023-Q1,3,15,March,1
805,2023-03-16,2023,2023-S1,2023-Q1,3,16,March,1
806,2023-03-17,2023,2023-S1,2023-Q1,3,17,March,1
807,2023-03-18,2023,2023-S1,2023-Q1,3,18,March,1
808,2023-03-19,2023,2023-S1,2023-Q1,3,19,March,1
809,2023-03-20,2023,2023-S1,2023-Q1,3,20,March,1
810,2023-03-21,2023,2023-S1,2023-Q1,3,21,March,1
811,2023-03-22,2023,2023-S1,2023-Q1,3,22,March,1
812,2023-03-23,2023,2023-S1,2023-Q1,3,23,March,1
813,2023-03-24,2023,2023-S1,2023-Q1,3,24,March,1
814,2023-03-25,2023,2023-S1,2023-Q1,3,25,March,1
815,2023-03-26,2023,2023-S1,2023-Q1,3,26,March,1
816,2023-03-27,2023,2023-S1,2023-Q1,3,27,March,1
817,2023-03-28,2023,2023-S1,2023-Q1,3,28,March,1
818,2023-03-29,2023,2023-S1,2023-Q1,3,29,March,1
819,2023-03-30,2023,2023-S1,2023-Q1,3,30,March,1
820,2023-03-31,2023,2023-S1,2023-Q1,3,31,March,1
821,2023-04-01,2023,2023-S1,2023-Q2,4,1,April,1
822,2023-04-02,2023,2023-S1,2023-Q2,4,2,April,1
823,2023-04-03,2023,2023-S1,2023-Q2,4,3,April,1
824,2023-04-04,2023,2023-S1,2023-Q2,4,4,April,1
825,2023-04-05,2023,2023-S1,2023-Q2,4,5,April,1
826,2023-04-06,2023,2023-S1,2023-Q2,4,6,April,1
827,2023-04-07,2023,2023-S1,2023-Q2,4,7,April,1
828,2023-04-08,2023,2023-S1,2023-Q2,4,8,April,1
829,2023-04-09,2023,2023-S1,2023-Q2,4,9,April,1
830,2023-04-10,2023,2023-S1,2023-Q2,4,10,April,1
831,2023-04-11,2023,2023-S1,2023-Q2,4,11,April,1
832,2023-04-12,2023,2023-S1,2023-Q2,4,12,April,1
833,2023-04-13,2023,2023-S1,2023-Q2,4,13,April,1
834,2023-04-14,2023,2023-S1,2023-Q2,4,14,April,1
835,2023-04-15,2023,2023-S1,2023-Q2,4,15,April,1
836,2023-04-16,2023,2023-S1,2023-Q2,4,16,April,1
837,2023-04-17,2023,2023-S1,2023-Q2,4,17,April,1
838,2023-04-18,2023,2023-S1,2023-Q2,4,18,April,1
839,2023-04-19,2023,2023-S1,2023-Q2,4,19,April,1
840,2023-04-20,2023,2023-S1,2023-Q2,4,20,April,1
841,2023-04-21,2023,2023-S1,2023-Q2,4,21,April,1
842,2023-04-22,2023,2023-S1,2023-Q2,4,22,April,1
843,2023-04-23,2023,2023-S1,2023-Q2,4,23,April,1
844,2023-04-24,2023,2023-S1,2023-Q2,4,24,April,1
845,2023-04-25,2023,2023-S1,2023-Q2,4,25,April,1
846,2023-04-26,2023,2023-S1,2023-Q2,4,26,April,1
847,2023-04-27,2023,2023-S1,2023-Q2,4,27,April,1
848,2023-04-28,2023,2023-S1,2023-Q2,4,28,April,1
849,2023-04-29,2023,2023-S1,2023-Q2,4,29,April,1
850,2023-04-30,2023,2023-S1,2023-Q2,4,30,April,1
851,2023-05-01,2023,2023-S1,2023-Q2,5,1,May,1
852,2023-05-02,2023,2023-S1,2023-Q2,5,2,May,1
853,2023-05-03,2023,2023-S1,2023-Q2,5,3,May,1
854,2023-05-04,2023,2023-S1,2023-Q2,5,4,May,1
855,2023-05-05,2023,2023-S1,2023-Q2,5,5,May,1
856,2023-05-06,2023,2023-S1,2023-Q2,5,6,May,1
857,2023-05-07,2023,2023-S1,2023-Q2,5,7,May,1
858,2023-05-08,2023,2023-S1,2023-Q2,5,8,May,1
859,2023-05-09,2023,2023-S1,2023-Q2,5,9,May,1
860,2023-05-10,2023,2023-S1,2023-Q2,5,10,May,1
861,2023-05-11,2023,2023-S1,2023-Q2,5,11,May,1
862,2023-05-12,2023,2023-S1,2023-Q2,5,12,May,1
863,2023-05-13,2023,2023-S1,2023-Q2,5,13,May,1
864,2023-05-14,2023,2023-S1,2023-Q2,5,14,May,1
865,2023-05-15,2023,2023-S1,2023-Q2,5,15,May,1
866,2023-05-16,2023,2023-S1,2023-Q2,5,16,May,1
867,2023-05-17,2023,2023-S1,2023-Q2,5,17,May,1
868,2023-05-18,2023,2023-S1,2023-Q2,5,18,May,1
869,2023-05-19,2023,2023-S1,2023-Q2,5,19,May,1
870,2023-05-20,2023,2023-S1,2023-Q2,5,20,May,1
871,2023-05-21,2023,2023-S1,2023-Q2,5,21,May,1
872,2023-05-22,2023,2023-S1,2023-Q2,5,22,May,1
873,2023-05-23,2023,2023-S1,2023-Q2,5,23,May,1
874,2023-05-24,2023,2023-S1,2023-Q2,5,24,May,1
875,2023-05-25,2023,2023-S1,2023-Q2,5,25,May,1
876,2023-05-26,2023,2023-S1,2023-Q2,5,26,May,1
877,2023-05-27,2023,2023-S1,2023-Q2,5,27,May,1
878,2023-05-28,2023,2023-S1,2023-Q2,5,28,May,1
879,2023-05-29,2023,2023-S1,2023-Q2,5,29,May,1
880,2023-05-30,2023,2023-S1,2023-Q2,5,30,May,1
881,2023-05-31,2023,2023-S1,2023-Q2,5,31,May,1
882,2023-06-01,2023,2023-S1,2023-Q2,6,1,June,1
883,2023-06-02,2023,2023-S1,2023-Q2,6,2,June,1
884,2023-06-03,2023,2023-S1,2023-Q2,6,3,June,1
885,2023-06-04,2023,2023-S1,2023-Q2,6,4,June,1
886,2023-06-05,2023,2023-S1,2023-Q2,6,5,June,1
887,2023-06-06,2023,2023-S1,2023-Q2,6,6,June,1
888,2023-06-07,2023,2023-S1,2023-Q2,6,7,June,1
889,2023-06-08,2023,2023-S1,2023-Q2,6,8,June,1
890,2023-06-09,2023,2023-S1,2023-Q2,6,9,June,1
891,2023-06-10,2023,2023-S1,2023-Q2,6,10,June,1
892,2023-06-11,2023,2023-S1,2023-Q2,6,11,June,1
893,2023-06-12,2023,2023-S1,2023-Q2,6,12,June,1
894,2023-06-13,2023,2023-S1,2023-Q2,6,13,June,1
895,2023-06-14,2023,2023-S1,2023-Q2,6,14,June,1
896,2023-06-15,2023,2023-S1,2023-Q2,6,15,June,1
897,2023-06-16,2023,2023-S1,2023-Q2,6,16,June,1
898,2023-06-17,2023,2023-S1,2023-Q2,6,17,June,1
899,2023-06-18,2023,2023-S1,2023-Q2,6,18,June,1
900,2023-06-19,2023,2023-S1,2023-Q2,6,19,June,1
901,2023-06-20,2023,2023-S1,2023-Q2,6,20,June,1
902,2023-06-21,2023,2023-S1,2023-Q2,6,21,June,1
903,2023-06-22,2023,2023-S1,2023-Q2,6,22,June,1
904,2023-06-23,2023,2023-S1,2023-Q2,6,23,June,1
905,2023-06-24,2023,2023-S1,2023-Q2,6,24,June,1
906,2023-06-25,2023,2023-S1,2023-Q2,6,25,June,1
907,2023-06-26,2023,2023-S1,2023-Q2,6,26,June,1
908,2023-06-27,2023,2023-S1,2023-Q2,6,27,June,1
909,2023-06-28,2023,2023-S1,2023-Q2,6,28,June,1
910,2023-06-29,2023,2023-S1,2023-Q2,6,29,June,1
911,2023-06-30,2023,2023-S1,2023-Q2,6,30,June,1
912,2023-07-01,2023,2023-S2,2023-Q3,7,1,July,1
913,2023-07-02,2023,2023-S2,2023-Q3,7,2,July,1
914,2023-07-03,2023,2023-S2,2023-Q3,7,3,July,1
915,2023-07-04,2023,2023-S2,2023-Q3,7,4,July,1
916,2023-07-05,2023,2023-S2,2023-Q3,7,5,July,1
917,2023-07-06,2023,2023-S2,2023-Q3,7,6,July,1
918,2023-07-07,2023,2023-S2,2023-Q3,7,7,July,1
919,2023-07-08,2023,2023-S2,2023-Q3,7,8,July,1
920,2023-07-09,2023,2023-S2,2023-Q3,7,9,July,1
921,2023-07-10,2023,2023-S2,2023-Q3,7,10,July,1
922,2023-07-11,2023,2023-S2,2023-Q3,7,11,July,1
923,2023-07-12,2023,2023-S2,2023-Q3,7,12,July,1
924,2023-07-13,2023,2023-S2,2023-Q3,7,13,July,1
925,2023-07-14,2023,2023-S2,2023-Q3,7,14,July,1
926,2023-07-15,2023,2023-S2,2023-Q3,7,15,July,1
927,2023-07-16,2023,2023-S2,2023-Q3,7,16,July,1
928,2023-07-17,2023,2023-S2,2023-Q3,7,17,July,1
929,2023-07-18,2023,2023-S2,2023-Q3,7,18,July,1
930,2023-07-19,2023,2023-S2,2023-Q3,7,19,July,1
931,2023-07-20,2023,2023-S2,2023-Q3,7,20,July,1
932,2023-07-21,2023,2023-S2,2023-Q3,7,21,July,1
933,2023-07-22,2023,2023-S2,2023-Q3,7,22,July,1
934,2023-07-23,2023,2023-S2,2023-Q3,7,23,July,1
935,2023-07-24,2023,2023-S2,2023-Q3,7,24,July,1
936,2023-07-25,2023,2023-S2,2023-Q3,7,25,July,1
937,2023-07-26,2023,2023-S2,2023-Q3,7,26,July,1
938,2023-07-27,2023,2023-S2,2023-Q3,7,27,July,1
939,2023-07-28,2023,2023-S2,2023-Q3,7,28,July,1
940,2023-07-29,2023,2023-S2,2023-Q3,7,29,July,1
941,2023-07-30,2023,2023-S2,2023-Q3,7,30,July,1
942,2023-07-31,2023,2023-S2,2023-Q3,7,31,July,1
943,2023-08-01,2023,2023-S2,2023-Q3,8,1,August,1
944,2023-08-02,2023,2023-S2,2023-Q3,8,2,August,1
945,2023-08-03,2023,2023-S2,2023-Q3,8,3,August,1
946,2023-08-04,2023,2023-S2,2023-Q3,8,4,August,1
947,2023-08-05,2023,2023-S2,2023-Q3,8,5,August,1
948,2023-08-06,2023,2023-S2,2023-Q3,8,6,August,1
949,2023-08-07,2023,2023-S2,2023-Q3,8,7,August,1
950,2023-08-08,2023,2023-S2,2023-Q3,8,8,August,1
951,2023-08-09,2023,2023-S2,2023-Q3,8,9,August,1
952,2023-08-10,2023,2023-S2,2023-Q3,8,10,August,1
953,2023-08-11,2023,2023-S2,2023-Q3,8,11,August,1
954,2023-08-12,2023,2023-S2,2023-Q3,8,12,August,1
955,2023-08-13,2023,2023-S2,2023-Q3,8,13,August,1
956,2023-08-14,2023,2023-S2,2023-Q3,8,14,August,1
957,2023-08-15,2023,2023-S2,2023-Q3,8,15,August,1
958,2023-08-16,2023,2023-S2,2023-Q3,8,16,August,1
959,2023-08-17,2023,2023-S2,2023-Q3,8,17,August,1
960,2023-08-18,2023,2023-S2,2023-Q3,8,18,August,1
961,2023-08-19,2023,2023-S2,2023-Q3,8,19,August,1
962,2023-08-20,2023,2023-S2,2023-Q3,8,20,August,1
963,2023-08-21,2023,2023-S2,2023-Q3,8,21,August,1
964,2023-08-22,2023,2023-S2,2023-Q3,8,22,August,1
965,2023-08-23,2023,2023-S2,2023-Q3,8,23,August,1
966,2023-08-24,2023,2023-S2,2023-Q3,8,24,August,1
967,2023-08-25,2023,2023-S2,2023-Q3,8,25,August,1
968,2023-08-26,2023,2023-S2,2023-Q3,8,26,August,1
969,2023-08-27,2023,2023-S2,2023-Q3,8,27,August,1
970,2023-08-28,2023,2023-S2,2023-Q3,8,28,August,1
971,2023-08-29,2023,2023-S2,2023-Q3,8,29,August,1
972,2023-08-30,2023,2023-S2,2023-Q3,8,30,August,1
973,2023-08-31,2023,2023-S2,2023-Q3,8,31,August,1
974,2023-09-01,2023,2023-S2,2023-Q3,9,1,September,1
975,2023-09-02,2023,2023-S2,2023-Q3,9,2,September,1
976,2023-09-03,2023,2023-S2,2023-Q3,9,3,September,1
977,2023-09-04,2023,2023-S2,2023-Q3,9,4,September,1
978,2023-09-05,2023,2023-S2,2023-Q3,9,5,September,1
979,2023-09-06,2023,2023-S2,2023-Q3,9,6,September,1
980,2023-09-07,2023,2023-S2,2023-Q3,9,7,September,1
981,2023-09-08,2023,2023-S2,2023-Q3,9,8,September,1
982,2023-09-09,2023,2023-S2,2023-Q3,9,9,September,1
983,2023-09-10,2023,2023-S2,2023-Q3,9,10,September,1
984,2023-09-11,2023,2023-S2,2023-Q3,9,11,September,1
985,2023-09-12,2023,2023-S2,2023-Q3,9,12,September,1
986,2023-09-13,2023,2023-S2,2023-Q3,9,13,September,1
987,2023-09-14,2023,2023-S2,2023-Q3,9,14,September,1
988,2023-09-15,2023,2023-S2,2023-Q3,9,15,September,1
989,2023-09-16,2023,2023-S2,2023-Q3,9,16,September,1
990,2023-09-17,2023,2023-S2,2023-Q3,9,17,September,1
991,2023-09-18,2023,2023-S2,2023-Q3,9,18,September,1
992,2023-09-19,2023,2023-S2,2023-Q3,9,19,September,1
993,2023-09-20,2023,2023-S2,2023-Q3,9,20,September,1
994,2023-09-21,2023,2023-S2,2023-Q3,9,21,September,1
995,2023-09-22,2023,2023-S2,2023-Q3,9,22,September,1
996,2023-09-23,2023,2023-S2,2023-Q3,9,23,September,1
997,2023-09-24,2023,2023-S2,2023-Q3,9,24,September,1
998,2023-09-25,2023,2023-S2,2023-Q3,9,25,September,1
999,2023-09-26,2023,2023-S2,2023-Q3,9,26,September,1
1000,2023-09-27,2023,2023-S2,2023-Q3,9,27,September,1
1001,2023-09-28,2023,2023-S2,2023-Q3,9,28,September,1
1002,2023-09-29,2023,2023-S2,2023-Q3,9,29,September,1
1003,2023-09-30,2023,2023-S2,2023-Q3,9,30,September,1
1004,2023-10-01,2023,2023-S2,2023-Q4,10,1,October,1
1005,2023-10-02,2023,2023-S2,2023-Q4,10,2,October,1
1006,2023-10-03,2023,2023-S2,2023-Q4,10,3,October,1
1007,2023-10-04,2023,2023-S2,2023-Q4,10,4,October,1
1008,2023-10-05,2023,2023-S2,2023-Q4,10,5,October,1
1009,2023-10-06,2023,2023-S2,2023-Q4,10,6,October,1
1010,2023-10-07,2023,2023-S2,2023-Q4,10,7,October,1
1011,2023-10-08,2023,2023-S2,2023-Q4,10,8,October,1
1012,2023-10-09,2023,2023-S2,2023-Q4,10,9,October,1
1013,2023-10-10,2023,2023-S2,2023-Q4,10,10,October,1
1014,2023-10-11,2023,2023-S2,2023-Q4,10,11,October,1
1015,2023-10-12,2023,2023-S2,2023-Q4,10,12,October,1
1016,2023-10-13,2023,2023-S2,2023-Q4,10,13,October,1
1017,2023-10-14,2023,2023-S2,2023-Q4,10,14,October,1
1018,2023-10-15,2023,2023-S2,2023-Q4,10,15,October,1
1019,2023-10-16,2023,2023-S2,2023-Q4,10,16,October,1
1020,2023-10-17,2023,2023-S2,2023-Q4,10,17,October,1
1021,2023-10-18,2023,2023-S2,2023-Q4,10,18,October,1
1022,2023-10-19,2023,2023-S2,2023-Q4,10,19,October,1
1023,2023-10-20,2023,2023-S2,2023-Q4,10,20,October,1
1024,2023-10-21,2023,2023-S2,2023-Q4,10,21,October,1
1025,2023-10-22,2023,2023-S2,2023-Q4,10,22,October,1
1026,2023-10-23,2023,2023-S2,2023-Q4,10,23,October,1
1027,2023-10-24,2023,2023-S2,2023-Q4,10,24,October,1
1028,2023-10-25,2023,2023-S2,2023-Q4,10,25,October,1
1029,2023-10-26,2023,2023-S2,2023-Q4,10,26,October,1
1030,2023-10-27,2023,2023-S2,2023-Q4,10,27,October,1
1031,2023-10-28,2023,2023-S2,2023-Q4,10,28,October,1
1032,2023-10-29,2023,2023-S2,2023-Q4,10,29,October,1
1033,2023-10-30,2023,2023-S2,2023-Q4,10,30,October,1
1034,2023-10-31,2023,2023-S2,2023-Q4,10,31,October,1
1035,2023-11-01,2023,2023-S2,2023-Q4,11,1,November,1
1036,2023-11-02,2023,2023-S2,2023-Q4,11,2,November,1
1037,2023-11-03,2023,2023-S2,2023-Q4,11,3,November,1
1038,2023-11-04,2023,2023-S2,2023-Q4,11,4,November,1
1039,2023-11-05,2023,2023-S2,2023-Q4,11,5,November,1
1040,2023-11-06,2023,2023-S2,2023-Q4,11,6,November,1
1041,2023-11-07,2023,2023-S2,2023-Q4,11,7,November,1
1042,2023-11-08,2023,2023-S2,2023-Q4,11,8,November,1
1043,2023-11-09,2023,2023-S2,2023-Q4,11,9,November,1
1044,2023-11-10,2023,2023-S2,2023-Q4,11,10,November,1
1045,2023-11-11,2023,2023-S2,2023-Q4,11,11,November,1
1046,2023-11-12,2023,2023-S2,2023-Q4,11,12,November,1
1047,2023-11-13,2023,2023-S2,2023-Q4,11,13,November,1
1048,2023-11-14,2023,2023-S2,2023-Q4,11,14,November,1
1049,2023-11-15,2023,2023-S2,2023-Q4,11,15,November,1
1050,2023-11-16,2023,2023-S2,2023-Q4,11,16,November,1
1051,2023-11-17,2023,2023-S2,2023-Q4,11,17,November,1
1052,2023-11-18,2023,2023-S2,2023-Q4,11,18,November,1
1053,2023-11-19,2023,2023-S2,2023-Q4,11,19,November,1
1054,2023-11-20,2023,2023-S2,2023-Q4,11,20,November,1
1055,2023-11-21,2023,2023-S2,2023-Q4,11,21,November,1
1056,2023-11-22,2023,2023-S2,2023-Q4,11,22,November,1
1057,2023-11-23,2023,2023-S2,2023-Q4,11,23,November,1
1058,2023-11-24,2023,2023-S2,2023-Q4,11,24,November,1
1059,2023-11-25,2023,2023-S2,2023-Q4,11,25,November,1
1060,2023-11-26,2023,2023-S2,2023-Q4,11,26,November,1
1061,2023-11-27,2023,2023-S2,2023-Q4,11,27,November,1
1062,2023-11-28,2023,2023-S2,2023-Q4,11,28,November,1
1063,2023-11-29,2023,2023-S2,2023-Q4,11,29,November,1
1064,2023-11-30,2023,2023-S2,2023-Q4,11,30,November,1
1065,2023-12-01,2023,2023-S2,2023-Q4,12,1,December,1
1066,2023-12-02,2023,2023-S2,2023-Q4,12,2,December,1
1067,2023-12-03,2023,2023-S2,2023-Q4,12,3,December,1
1068,2023-12-04,2023,2023-S2,2023-Q4,12,4,December,1
1069,2023-12-05,2023,2023-S2,2023-Q4,12,5,December,1
1070,2023-12-06,2023,2023-S2,2023-Q4,12,6,December,1
1071,2023-12-07,2023,2023-S2,2023-Q4,12,7,December,1
1072,2023-12-08,2023,2023-S2,2023-Q4,12,8,December,1
1073,2023-12-09,2023,2023-S2,2023-Q4,12,9,December,1
1074,2023-12-10,2023,2023-S2,2023-Q4,12,10,December,1
1075,2023-12-11,2023,2023-S2,2023-Q4,12,11,December,1
1076,2023-12-12,2023,2023-S2,2023-Q4,12,12,December,1
1077,2023-12-13,2023,2023-S2,2023-Q4,12,13,December,1
1078,2023-12-14,2023,2023-S2,2023-Q4,12,14,December,1
1079,2023-12-15,2023,2023-S2,2023-Q4,12,15,December,1
1080,2023-12-16,2023,2023-S2,2023-Q4,12,16,December,1
1081,2023-12-17,2023,2023-S2,2023-Q4,12,17,December,1
1082,2023-12-18,2023,2023-S2,2023-Q4,12,18,December,1
1083,2023-12-19,2023,2023-S2,2023-Q4,12,19,December,1
1084,2023-12-20,2023,2023-S2,2023-Q4,12,20,December,1
1085,2023-12-21,2023,2023-S2,2023-Q4,12,21,December,1
1086,2023-12-22,2023,2023-S2,2023-Q4,12,22,December,1
1087,2023-12-23,2023,2023-S2,2023-Q4,12,23,December,1
1088,2023-12-24,2023,2023-S2,2023-Q4,12,24,December,1
1089,2023-12-25,2023,2023-S2,2023-Q4,12,25,December,1
1090,2023-12-26,2023,2023-S2,2023-Q4,12,26,December,1
1091,2023-12-27,2023,2023-S2,2023-Q4,12,27,December,1
1092,2023-12-28,2023,2023-S2,2023-Q4,12,28,December,1
1093,2023-12-29,2023,2023-S2,2023-Q4,12,29,December,1
1094,2023-12-30,2023,2023-S2,2023-Q4,12,30,December,1
1095,2023-12-31,2023,2023-S2,2023-Q4,12,31,December,1
1096,2024-01-01,2024,2024-S1,2024-Q1,1,1,January,1
1097,2024-01-02,2024,2024-S1,2024-Q1,1,2,January,1
1098,2024-01-03,2024,2024-S1,2024-Q1,1,3,January,1
1099,2024-01-04,2024,2024-S1,2024-Q1,1,4,January,1
1100,2024-01-05,2024,2024-S1,2024-Q1,1,5,January,1
1101,2024-01-06,2024,2024-S1,2024-Q1,1,6,January,1
1102,2024-01-07,2024,2024-S1,2024-Q1,1,7,January,1
1103,2024-01-08,2024,2024-S1,2024-Q1,1,8,January,1
1104,2024-01-09,2024,2024-S1,2024-Q1,1,9,January,1
1105,2024-01-10,2024,2024-S1,2024-Q1,1,10,January,1
1106,2024-01-11,2024,2024-S1,2024-Q1,1,11,January,1
1107,2024-01-12,2024,2024-S1,2024-Q1,1,12,January,1
1108,2024-01-13,2024,2024-S1,2024-Q1,1,13,January,1
1109,2024-01-14,2024,2024-S1,2024-Q1,1,14,January,1
1110,2024-01-15,2024,2024-S1,2024-Q1,1,15,January,1
1111,2024-01-16,2024,2024-S1,2024-Q1,1,16,January,1
1112,2024-01-17,2024,2024-S1,2024-Q1,1,17,January,1
1113,2024-01-18,2024,2024-S1,2024-Q1,1,18,January,1
1114,2024-01-19,2024,2024-S1,2024-Q1,1,19,January,1
1115,2024-01-20,2024,2024-S1,2024-Q1,1,20,January,1
1116,2024-01-21,2024,2024-S1,2024-Q1,1,21,January,1
1117,2024-01-22,2024,2024-S1,2024-Q1,1,22,January,1
1118,2024-01-23,2024,2024-S1,2024-Q1,1,23,January,1
1119,2024-01-24,2024,2024-S1,2024-Q1,1,24,January,1
1120,2024-01-25,2024,2024-S1,2024-Q1,1,25,January,1
1121,2024-01-26,2024,2024-S1,2024-Q1,1,26,January,1
1122,2024-01-27,2024,2024-S1,2024-Q1,1,27,January,1
1123,2024-01-28,2024,2024-S1,2024-Q1,1,28,January,1
1124,2024-01-29,2024,2024-S1,2024-Q1,1,29,January,1
1125,2024-01-30,2024,2024-S1,2024-Q1,1,30,January,1
1126,2024-01-31,2024,2024-S1,2024-Q1,1,31,January,1
1127,2024-02-01,2024,2024-S1,2024-Q1,2,1,February,1
1128,2024-02-02,2024,2024-S1,2024-Q1,2,2,February,1
1129,2024-02-03,2024,2024-S1,2024-Q1,2,3,February,1
1130,2024-02-04,2024,2024-S1,2024-Q1,2,4,February,1
1131,2024-02-05,2024,2024-S1,2024-Q1,2,5,February,1
1132,2024-02-06,2024,2024-S1,2024-Q1,2,6,February,1
1133,2024-02-07,2024,2024-S1,2024-Q1,2,7,February,1
1134,2024-02-08,2024,2024-S1,2024-Q1,2,8,February,1
1135,2024-02-09,2024,2024-S1,2024-Q1,2,9,February,1
1136,2024-02-10,2024,2024-S1,2024-Q1,2,10,February,1
1137,2024-02-11,2024,2024-S1,2024-Q1,2,11,February,1
1138,2024-02-12,2024,2024-S1,2024-Q1,2,12,February,1
1139,2024-02-13,2024,2024-S1,2024-Q1,2,13,February,1
1140,2024-02-14,2024,2024-S1,2024-Q1,2,14,February,1
1141,2024-02-15,2024,2024-S1,2024-Q1,2,15,February,1
1142,2024-02-16,2024,2024-S1,2024-Q1,2,16,February,1
1143,2024-02-17,2024,2024-S1,2024-Q1,2,17,February,1
1144,2024-02-18,2024,2024-S1,2024-Q1,2,18,February,1
1145,2024-02-19,2024,2024-S1,2024-Q1,2,19,February,1
1146,2024-02-20,2024,2024-S1,2024-Q1,2,20,February,1
1147,2024-02-21,2024,2024-S1,2024-Q1,2,21,February,1
1148,2024-02-22,2024,2024-S1,2024-Q1,2,22,February,1
1149,2024-02-23,2024,2024-S1,2024-Q1,2,23,February,1
1150,2024-02-24,2024,2024-S1,2024-Q1,2,24,February,1
1151,2024-02-25,2024,2024-S1,2024-Q1,2,25,February,1
1152,2024-02-26,2024,2024-S1,2024-Q1,2,26,February,1
1153,2024-02-27,2024,2024-S1,2024-Q1,2,27,February,1
1154,2024-02-28,2024,2024-S1,2024-Q1,2,28,February,1
1155,2024-02-29,2024,2024-S1,2024-Q1,2,29,February,1
1156,2024-03-01,2024,2024-S1,2024-Q1,3,1,March,1
1157,2024-03-02,2024,2024-S1,2024-Q1,3,2,March,1
1158,2024-03-03,2024,2024-S1,2024-Q1,3,3,March,1
1159,2024-03-04,2024,2024-S1,2024-Q1,3,4,March,1
1160,2024-03-05,2024,2024-S1,2024-Q1,3,5,March,1
1161,2024-03-06,2024,2024-S1,2024-Q1,3,6,March,1
1162,2024-03-07,2024,2024-S1,2024-Q1,3,7,March,1
1163,2024-03-08,2024,2024-S1,2024-Q1,3,8,March,1
1164,2024-03-09,2024,2024-S1,2024-Q1,3,9,March,1
1165,2024-03-10,2024,2024-S1,2024-Q1,3,10,March,1
1166,2024-03-11,2024,2024-S1,2024-Q1,3,11,March,1
1167,2024-03-12,2024,2024-S1,2024-Q1,3,12,March,1
1168,2024-03-13,2024,2024-S1,2024-Q1,3,13,March,1
1169,2024-03-14,2024,2024-S1,2024-Q1,3,14,March,1
1170,2024-03-15,2024,2024-S1,2024-Q1,3,15,March,1
1171,2024-03-16,2024,2024-S1,2024-Q1,3,16,March,1
1172,2024-03-17,2024,2024-S1,2024-Q1,3,17,March,1
1173,2024-03-18,2024,2024-S1,2024-Q1,3,18,March,1
1174,2024-03-19,2024,2024-S1,2024-Q1,3,19,March,1
1175,2024-03-20,2024,2024-S1,2024-Q1,3,20,March,1
1176,2024-03-21,2024,2024-S1,2024-Q1,3,21,March,1
1177,2024-03-22,2024,2024-S1,2024-Q1,3,22,March,1
1178,2024-03-23,2024,2024-S1,2024-Q1,3,23,March,1
1179,2024-03-24,2024,2024-S1,2024-Q1,3,24,March,1
1180,2024-03-25,2024,2024-S1,2024-Q1,3,25,March,1
1181,2024-03-26,2024,2024-S1,2024-Q1,3,26,March,1
1182,2024-03-27,2024,2024-S1,2024-Q1,3,27,March,1
1183,2024-03-28,2024,2024-S1,2024-Q1,3,28,March,1
1184,2024-03-29,2024,2024-S1,2024-Q1,3,29,March,1
1185,2024-03-30,2024,2024-S1,2024-Q1,3,30,March,1
1186,2024-03-31,2024,2024-S1,2024-Q1,3,31,March,1
1187,2024-04-01,2024,2024-S1,2024-Q2,4,1,April,1
1188,2024-04-02,2024,2024-S1,2024-Q2,4,2,April,1
1189,2024-04-03,2024,2024-S1,2024-Q2,4,3,April,1
1190,2024-04-04,2024,2024-S1,2024-Q2,4,4,April,1
1191,2024-04-05,2024,2024-S1,2024-Q2,4,5,April,1
1192,2024-04-06,2024,2024-S1,2024-Q2,4,6,April,1
1193,2024-04-07,2024,2024-S1,2024-Q2,4,7,April,1
1194,2024-04-08,2024,2024-S1,2024-Q2,4,8,April,1
1195,2024-04-09,2024,2024-S1,2024-Q2,4,9,April,1
1196,2024-04-10,2024,2024-S1,2024-Q2,4,10,April,1
1197,2024-04-11,2024,2024-S1,2024-Q2,4,11,April,1
1198,2024-04-12,2024,2024-S1,2024-Q2,4,12,April,1
1199,2024-04-13,2024,2024-S1,2024-Q2,4,13,April,1
1200,2024-04-14,2024,2024-S1,2024-Q2,4,14,April,1
1201,2024-04-15,2024,2024-S1,2024-Q2,4,15,April,1
1202,2024-04-16,2024,2024-S1,2024-Q2,4,16,April,1
1203,2024-04-17,2024,2024-S1,2024-Q2,4,17,April,1
1204,2024-04-18,2024,2024-S1,2024-Q2,4,18,April,1
1205,2024-04-19,2024,2024-S1,2024-Q2,4,19,April,1
1206,2024-04-20,2024,2024-S1,2024-Q2,4,20,April,1
1207,2024-04-21,2024,2024-S1,2024-Q2,4,21,April,1
